metric,step,value
ep_rew_mean,208192,343.1406
ep_rew_mean,216384,335.1260
ep_rew_mean,224576,335.1260
ep_rew_mean,232768,336.4320
ep_rew_mean,240960,336.4320
ep_rew_mean,249152,332.4930
ep_rew_mean,257344,332.4930
ep_rew_mean,265536,330.5460
ep_rew_mean,273728,330.5460
ep_rew_mean,281920,323.2930
ep_rew_mean,290112,323.2930
ep_rew_mean,298304,319.1700
ep_rew_mean,306496,319.1700
ep_rew_mean,314688,314.4150
ep_rew_mean,322880,314.4150
ep_rew_mean,331072,309.7930
ep_rew_mean,339264,309.7930
ep_rew_mean,347456,313.2910
ep_rew_mean,355648,313.2910
ep_rew_mean,363840,307.1960
ep_rew_mean,372032,307.1960
ep_rew_mean,380224,306.5380
ep_rew_mean,388416,306.5380
ep_rew_mean,396608,311.4150
ep_rew_mean,404800,311.4150
ep_rew_mean,412992,318.5720
ep_rew_mean,421184,318.5720
ep_rew_mean,429376,315.0860
ep_rew_mean,437568,315.0860
ep_rew_mean,445760,305.4730
ep_rew_mean,453952,305.4730
ep_rew_mean,462144,301.4590
ep_rew_mean,470336,301.4590
ep_rew_mean,478528,300.2770
ep_rew_mean,486720,300.2770
ep_rew_mean,488192,300.2770
ep_rew_mean,496384,296.8060
ep_rew_mean,504576,296.8060
ep_rew_mean,512768,291.9820
ep_rew_mean,520960,291.9820
ep_rew_mean,529152,289.0870
ep_rew_mean,537344,289.0870
ep_rew_mean,545536,287.3520
ep_rew_mean,553728,287.3520
ep_rew_mean,561920,281.9460
ep_rew_mean,570112,281.9460
ep_rew_mean,578304,278.6720
ep_rew_mean,586496,278.6720
ep_rew_mean,594688,277.8150
ep_rew_mean,602880,277.8150
ep_rew_mean,611072,270.1960
ep_rew_mean,619264,270.1960
ep_rew_mean,627456,264.7800
ep_rew_mean,635648,264.7800
ep_rew_mean,643840,267.4980
ep_rew_mean,652032,267.4980
ep_rew_mean,660224,271.4870
ep_rew_mean,668416,271.4870
ep_rew_mean,676608,273.4200
ep_rew_mean,684800,273.4200
ep_rew_mean,692992,279.5920
ep_rew_mean,701184,279.5920
ep_rew_mean,709376,287.7850
ep_rew_mean,717568,287.7850
ep_rew_mean,725760,287.3070
ep_rew_mean,733952,287.3070
ep_rew_mean,742144,294.1490
ep_rew_mean,750336,294.1490
ep_rew_mean,758528,299.4980
ep_rew_mean,766720,299.4980
ep_rew_mean,774912,307.3160
ep_rew_mean,783104,307.3160
ep_rew_mean,791296,314.9030
ep_rew_mean,799488,314.9030
ep_rew_mean,807680,323.4820
ep_rew_mean,815872,323.4820
ep_rew_mean,824064,331.7250
ep_rew_mean,832256,335.3010
